	GeneIndex	Name
210	210	ptk70
211	211	exosc10
211	211	pmscl2
211	211	pm-scl
211	211	pm/scl-100
211	211	rrp6p
211	211	rrp6
211	211	p2
211	211	p3
211	211	p4
212	212	mtor
212	212	frap
212	212	frap2
212	212	frap1
212	212	raft1
212	212	rapt1
212	212	flj44809
213	213	mtor-as1
214	214	angptl7
214	214	cdt6
214	214	angx
215	215	ubiad1
215	215	sccd
215	215	tere1
216	216	disp3
216	216	ptchd2
216	216	kiaa1337
217	217	fbxo2
217	217	ocp1
217	217	fbx2
217	217	nfb42
217	217	fbs1
217	217	fbg1
218	218	fbxo44
218	218	fbx30
218	218	fbg3
218	218	mgc14140
218	218	fbxo6a
218	218	fbx44
219	219	fbxo6
219	219	fbx6
219	219	fbg2
219	219	fbs2
219	219	fbx6b
220	220	mad2l2
220	220	mad2b
220	220	rev7
220	220	polz2
220	220	fancv
221	221	draxin
221	221	c1orf187
221	221	flj34999
221	221	neucrin
222	222	ak125437
223	223	agtrap
223	223	atrap
224	224	c1orf167
224	224	dkfzp434e1410
224	224	rp11-56n19.2
225	225	mthfr
226	226	clcn6
226	226	clc-6
226	226	kiaa0046
226	226	clc-6
227	227	nppa-as1
227	227	nppaas
227	227	nppa-as
228	228	nppa
228	228	anp
228	228	pnd
229	229	nppb
230	230	kiaa2013
230	230	mgc33867
230	230	rp5-1077b9.1
231	231	plod1
231	231	llh
231	231	plod
231	231	lh1
232	232	mfn2
232	232	cprp1
232	232	kiaa0214
232	232	marf
232	232	cmt2a2
233	233	miip
233	233	flj12438
233	233	iip45
234	234	mi0022574
235	235	tnfrsf8
235	235	cd30
235	235	d1s166e
235	235	ki-1
236	236	mi0025516
237	237	tnfrsf1b
237	237	tnfr2
237	237	tnfbr
237	237	tnfr80
237	237	tnf-r75
237	237	tnf-r-ii
237	237	p75
237	237	cd120b
238	238	mi0017259
239	239	vps13d
239	239	flj10619
239	239	kiaa0453
239	239	bltp5d
240	240	snora59b
240	240	aca59
241	241	dhrs3
241	241	retsdr1
241	241	rsdr1
241	241	sdr1
241	241	rdh17
241	241	sdr16c1
242	242	mi0022575
243	243	aadacl4
243	243	otthumg00000001889
244	244	aadacl3
244	244	otthumg00000001887
245	245	cfap107
245	245	c1orf158
245	245	mgc35194
246	246	pramef12
246	246	otthumg00000001927
247	247	pramef1
248	248	pramef11
249	249	loc649330
250	250	hnrnpcl1
250	250	hnrpcl1
251	251	pramef2
251	251	flj43580
252	252	pramef4
252	252	rp5-845o24.6
253	253	pramef10
254	254	pramef8
255	255	pramef6
256	256	pramef5
256	256	pramef23
256	256	pramef5l
257	257	pramef22
257	257	pramef3l
258	258	loc440563
259	259	pramef3
260	260	pramef9
261	261	pramef13
262	262	pramef19
262	262	otthumg00000007919
263	263	pramef16
264	264	pramef20
264	264	pramef21
264	264	otthumg00000007911
264	264	otthumt00000008157
265	265	pramef17
265	265	otthumg00000007909
266	266	lrrc38
267	267	pdpn
267	267	t1a-2
267	267	gp38
267	267	aggrus
