,GeneIndex,Name,Log2FoldChange,AdjustedPValue
5245,5245,DOC2GP,0.0,1.0
5246,5246,X15673,0.0,1.0
5247,5247,NUDT8,0.0,1.0
5248,5248,TBX10,0.0,1.0
5249,5249,ACY3,0.0,1.0
5250,5250,ALDH3B2,0.0,1.0
5251,5251,DQ584669_4,0.0,1.0
5252,5252,FAM86C2P,0.0,1.0
5253,5253,AK091996,0.0,1.0
5254,5254,UNC93B1,0.0,1.0
5255,5255,ALDH3B1,0.0,1.0
5256,5256,NDUFS8,0.0,1.0
5257,5257,MI0022964,0.0,1.0
5258,5258,MI0017324,0.0,1.0
5259,5259,TCIRG1,0.0,1.0
5260,5260,MI0022598,0.0,1.0
5261,5261,CHKA,0.0,1.0
5262,5262,AX747648,0.0,1.0
5263,5263,SUV420H1,0.0,1.0
5264,5264,C11orf24,0.0,1.0
5265,5265,LRP5,0.0,1.0
5266,5266,PPP6R3,0.0,1.0
5267,5267,GAL,0.0,1.0
5268,5268,MTL5,0.0,1.0
5269,5269,CPT1A,0.0,1.0
5270,5270,5S_rRNA_69,0.0,1.0
5271,5271,MRPL21,0.0,1.0
5272,5272,IGHMBP2,0.0,1.0
5273,5273,MRGPRD,0.0,1.0
5274,5274,MRGPRF,0.0,1.0
5275,5275,BC039516,0.0,1.0
5276,5276,TPCN2,0.0,1.0
5277,5277,MI0014194,0.0,1.0
5278,5278,BC064339,0.0,1.0
5279,5279,MYEOV,0.0,1.0
5280,5280,AX746803,0.0,1.0
5281,5281,AK094674,0.0,1.0
5282,5282,KC136298,0.0,1.0
5283,5283,KC136299,0.0,1.0
5284,5284,KC136301,0.0,1.0
5285,5285,KC136302,0.0,1.0
5286,5286,KC136303,0.0,1.0
5287,5287,KC136304,0.0,1.0
5288,5288,KC136307,0.0,1.0
5289,5289,KC136308,0.0,1.0
5290,5290,CCND1,0.0,1.0
5291,5291,AK294004,0.0,1.0
5292,5292,ORAOV1,0.0,1.0
5293,5293,BC133018,0.0,1.0
5294,5294,FGF19,0.0,1.0
5295,5295,FGF4,0.0,1.0
5296,5296,FGF3,0.0,1.0
5297,5297,ANO1,0.0,1.0
5298,5298,FADD,0.0,1.0
5299,5299,PPFIA1,0.0,1.0
5300,5300,MI0006354,0.0,1.0
5301,5301,AK125463,0.0,1.0
5302,5302,CTTN,0.0,1.0
5303,5303,SHANK2,0.0,1.0
5304,5304,AK128563,0.0,1.0
5305,5305,BC127192,0.0,1.0
5306,5306,BC131767,0.0,1.0
5307,5307,SHANK2-AS1,0.0,1.0
5308,5308,SHANK2-AS3,0.0,1.0
5309,5309,MI0016065,0.0,1.0
5310,5310,FLJ42102,0.0,1.0
5311,5311,DHCR7,0.0,1.0
5312,5312,NADSYN1,0.0,1.0
5313,5313,MI0022599,0.0,1.0
5314,5314,KRTAP5-7,0.0,1.0
5315,5315,KRTAP5-8,0.0,1.0
5316,5316,KRTAP5-9,0.0,1.0
5317,5317,KRTAP5-10,0.0,1.0
5318,5318,KRTAP5-11,0.0,1.0
5319,5319,FAM86C1,0.0,1.0
5320,5320,ALG1L9P,0.0,1.0
5321,5321,DEFB108B,0.0,1.0
5322,5322,LOC100133315,0.0,1.0
5323,5323,LOC100129216,0.0,1.0
5324,5324,RNF121,0.0,1.0
5325,5325,IL18BP,0.0,1.0
5326,5326,NUMA1,0.0,1.0
5327,5327,MI0014195,0.0,1.0
5328,5328,LRTOMT,0.0,1.0
5329,5329,LAMTOR1,0.0,1.0
5330,5330,ANAPC15,0.0,1.0
5331,5331,FOLR3,0.0,1.0
5332,5332,FOLR1,0.0,1.0
5333,5333,FOLR2,0.0,1.0
5334,5334,INPPL1,0.0,1.0
5335,5335,PHOX2A,0.0,1.0
5336,5336,CLPB,0.0,1.0
5337,5337,AL832797,0.0,1.0
5338,5338,PDE2A,0.0,1.0
5339,5339,MI0000261,0.0,1.0
5340,5340,U7_26,0.0,1.0
5341,5341,ARAP1,0.0,1.0
5342,5342,BC150585,0.0,1.0
5343,5343,STARD10,0.0,1.0
5344,5344,MI0017325,0.0,1.0
5345,5345,ATG16L2,0.0,1.0
5346,5346,FCHSD2,0.0,1.0
5347,5347,P2RY2,-1.09701246426358,1.7e-11
5348,5348,P2RY6,0.0,1.0
5349,5349,ARHGEF17,0.0,1.0
5350,5350,RELT,0.0,1.0
5351,5351,FAM168A,0.0,1.0
5352,5352,PLEKHB1,0.0,1.0
5353,5353,RAB6A,0.0,1.0
5354,5354,MRPL48,0.0,1.0
5355,5355,COA4,0.0,1.0
5356,5356,PAAF1,0.0,1.0
5357,5357,DNAJB13,0.0,1.0
5358,5358,UCP2,0.0,1.0
5359,5359,UCP3,0.0,1.0
5360,5360,C2CD3,0.0,1.0
5361,5361,PPME1,0.0,1.0
5362,5362,P4HA3,1.10007573017494,0.008581994346743
5363,5363,SNORA7,0.0,1.0
5364,5364,BC048427,0.0,1.0
5365,5365,PGM2L1,-1.16566551200204,1.29e-14
5366,5366,MI0016851,0.0,1.0
5367,5367,KCNE3,0.0,1.0
5368,5368,LIPT2,0.0,1.0
